"Категория";"Производитель";"Товар";"Описание";"Цена (розница)";"Наличие";"Ссылка";"Гарантия, м";"Полное описание";"Ссылка на товар в интернет магазине"
"Мобильные телефоны";"Huawei";"Huawei Honor 8 Lite 3/16Gb (FRA-LA1)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"450.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Honor_8_Lite_316Gb_FRA_LA1-2898401.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Honor 8 Lite 3/32Gb (PRA-AL00)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"500.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Honor_8_Lite_332Gb_PRA_AL00-2966253.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Honor 8 Lite 4/32Gb (PRA-TL10)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"520.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Honor_8_Lite_432Gb_PRA_TL10-2892199.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Honor 9 4/64Gb (STF-L09)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"990.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Honor_9_464Gb_STF_L09-2969959.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Mate 8 32Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"780.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Mate_8_32Gb-2337785.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Mate 8 64Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"930.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Mate_8_64Gb-2417117.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Mate 9 (MHA-L29)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"950.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Mate_9_MHA_L29-2745145.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Mate 9 lite 64Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"900.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Mate_9_lite_64Gb-2892235.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Mate 9 Pro 128Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"1500.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Mate_9_Pro_128Gb-2809245.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Mate S (CRR-UL00) 32Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"720.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Mate_S_CRR_UL00_32Gb-2269781.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Mate S (CRR-UL00) 64Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"720.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Mate_S_CRR_UL00_64Gb-2269787.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Mate S (CRR-UL09) 32Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"810.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Mate_S_CRR_UL09_32Gb-2269789.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Nexus 6P 128Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"1150.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Nexus_6P_128Gb-2207963.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Nexus 6P 32Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"940.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Nexus_6P_32Gb-2207957.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Nexus 6P 64Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"990.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Nexus_6P_64Gb-2207961.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Nova (CAN-L11)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"500.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Nova_CAN_L11-2745833.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Nova (CAZ-AL10)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"500.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Nova_CAZ_AL10-2930199.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Nova 2 Plus (BAC-L21)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"870.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Nova_2_Plus_BAC_L21-2972759.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Nova Plus (MLA-L01/L11)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"680.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Nova_Plus_MLA_L01L11-2762637.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P10 128Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"1450.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P10_128Gb-2892261.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P10 32Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"940.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P10_32Gb-2863997.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P10 64Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"1050.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P10_64Gb-2818075.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P10 Lite 32Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"570.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P10_Lite_32Gb-2863897.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P10 Lite 64Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"650.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P10_Lite_64Gb-2924231.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P10 Plus 128Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"1450.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P10_Plus_128Gb-2818097.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P10 Plus 64Gb (VKY-L29)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"1240.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P10_Plus_64Gb_VKY_L29-2818089.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P8 GRA-L09";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"450.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P8_GRA_L09-2094693.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P8 GRA-UL00";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"450.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P8_GRA_UL00-2077641.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P8 GRA-UL10";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"600.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P8_GRA_UL10-2277175.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P8 Lite";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"320.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P8_Lite-2077673.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P8 lite 2017";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"440.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P8_lite_2017-2809175.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P8 Lite Dual";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"320.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P8_Lite_Dual-2214893.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P8max";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"880.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P8max-2077727.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P9 32Gb (EVA-L09)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"750.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P9_32Gb_EVA_L09-2468999.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P9 32Gb (EVA-L19)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"750.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P9_32Gb_EVA_L19-2503243.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P9 64Gb (EVA-L29)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"1020.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P9_64Gb_EVA_L29-2503245.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P9 Lite (VNS-L21)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"399.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P9_Lite_VNS_L21-2550301.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P9 Lite (VNS-L22)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"399.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P9_Lite_VNS_L22-2691909.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P9 Lite (VNS-L31)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"480.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P9_Lite_VNS_L31-2653469.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P9 Lite Single Sim (VNS-L31)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"500.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P9_Lite_Single_Sim_VNS_L31-2708069.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P9 Plus (VIE-L09)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"900.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P9_Plus_VIE_L09-2669059.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei P9 Plus (VIE-L29)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"900.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_P9_Plus_VIE_L29-2550327.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei U7519";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"44.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_U7519-514048.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Y3 2017 (CRO-U00)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"197.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Y3_2017_CRO_U00-2915603.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Y3II 3G ";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"173.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Y3II_3G-2589459.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Y3II 4G";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"189.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Y3II_4G-2589457.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Y5 2017 (MYA-L22)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"270.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Y5_2017_MYA_L22-2923907.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Y5 II (CUN-U29)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"213.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Y5_II_CUN_U29-2550609.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Y6 (SCL-L01)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"235.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Y6_SCL_L01-2360497.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Y6 (SCL-L21)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"230.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Y6_SCL_L21-2495819.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Y6 (SCL-U31)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"247.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Y6_SCL_U31-2523837.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Y6 II Compact";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"255.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Y6_II_Compact-2723365.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Y6 Pro";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"260.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Y6_Pro-2503249.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Y6II";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"270.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Y6II-2787605.html";"36";"";"";
"Мобильные телефоны";"Huawei";"Huawei Y7";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"431.00";"На складе";"https://phone.1k.by/mobile/huawei/Huawei_Y7-2941465.html";"36";"";"";
"Мобильные телефоны";"Hummer";"Hummer H5+";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"370.00";"На складе";"https://phone.1k.by/mobile/hummer/Hummer_H5-2503235.html";"36";"";"";
"Мобильные телефоны";"Jiayu";"Jiayu G4C";"Гарантия 36 месяцев.Original.Цвета БЕЛЫЙ.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"180.00";"На складе";"https://phone.1k.by/mobile/jiayu/Jiayu_G4C-1305367.html";"36";"";"";
"Мобильные телефоны";"Land Rover";"Land Rover A8";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"318.00";"На складе";"https://phone.1k.by/mobile/landrover/Land_Rover_A8-1457017.html";"36";"";"";
"Мобильные телефоны";"Land Rover";"Land Rover A8+";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"318.00";"На складе";"https://phone.1k.by/mobile/landrover/Land_Rover_A8-2600691.html";"36";"";"";
"Мобильные телефоны";"Land Rover";"Land Rover A9";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"370.00";"На складе";"https://phone.1k.by/mobile/landrover/Land_Rover_A9-1528629.html";"36";"";"";
"Мобильные телефоны";"Land Rover";"Land Rover A9+";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"420.00";"На складе";"https://phone.1k.by/mobile/landrover/Land_Rover_A9-1457035.html";"36";"";"";
"Мобильные телефоны";"Land Rover";"Land Rover D6";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"750.00";"На складе";"https://phone.1k.by/mobile/landrover/Land_Rover_D6-2862957.html";"36";"";"";
"Мобильные телефоны";"Land Rover";"Land Rover Discovery V8";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"208.00";"На складе";"https://phone.1k.by/mobile/landrover/Land_Rover_Discovery_V8-2131979.html";"36";"";"";
"Мобильные телефоны";"Land Rover";"Land Rover Discovery V8+";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"288.00";"На складе";"https://phone.1k.by/mobile/landrover/Land_Rover_Discovery_V8-2653043.html";"36";"";"";
"Мобильные телефоны";"Land Rover";"Land Rover Discovery V9";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"540.00";"На складе";"https://phone.1k.by/mobile/landrover/Land_Rover_Discovery_V9-2215613.html";"36";"";"";
"Мобильные телефоны";"Land Rover";"Land Rover GT (X8)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"600.00";"На складе";"https://phone.1k.by/mobile/landrover/Land_Rover_GT_X8-1710893.html";"36";"";"";
"Мобильные телефоны";"Land Rover";"Land Rover S9";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"588.00";"На складе";"https://phone.1k.by/mobile/landrover/Land_Rover_S9-2118817.html";"36";"";"";
"Мобильные телефоны";"Land Rover";"Land Rover V8";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"278.00";"На складе";"https://phone.1k.by/mobile/landrover/Land_Rover_V8-2118805.html";"36";"";"";
"Мобильные телефоны";"Land Rover";"Land Rover X8S";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"460.00";"На складе";"https://phone.1k.by/mobile/landrover/Land_Rover_X8S-2745151.html";"36";"";"";
"Мобильные телефоны";"Land Rover";"Land Rover X9";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"410.00";"На складе";"https://phone.1k.by/mobile/landrover/Land_Rover_X9-2927475.html";"36";"";"";
"Мобильные телефоны";"LeEco";"LeEco Cool1 C106 3/32Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"425.00";"На складе";"https://phone.1k.by/mobile/leeco/LeEco_Cool1_C106_332Gb-2763419.html";"36";"";"";
